t_idx,coherence,dissonance_rate,hotspots,breath,diet,tuned,rules,mode,bpm,amp_limit_hits,bw_limit_hits,loop_latency_ms,adapter_success_rate
0,0.8730,0.0000,,4-6,,0,6,focus,80.0,0,0,0.00,1.0000
1,0.9216,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,1.0000
2,0.9328,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,1.0000
3,0.9297,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,1.0000
4,0.9182,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,1.0000
5,0.9020,0.0000,,4-6,,0,6,focus,80.0,0,2,0.00,0.9524
6,0.9062,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9592
7,0.8854,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9643
8,0.8656,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9683
9,0.8468,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9714
10,0.8297,0.0000,,4-6,,0,6,focus,80.0,0,2,0.00,0.9481
11,0.8518,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9524
12,0.8340,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9560
13,0.8175,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9592
14,0.8034,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9619
15,0.7910,0.0000,,4-6,,0,6,focus,80.0,0,2,0.00,0.9464
16,0.8238,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9496
17,0.8093,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9524
18,0.7959,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9549
19,0.7843,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9571
